Energy(ev),  Intensity
 727.00 , 39356
 728.00 , 39417
 729.00 , 39381
 730.00 , 39445
 731.00 , 39452
 732.00 , 39447
 733.00 , 39504
 734.00 , 39506
 735.00 , 39610
 736.00 , 39629
 737.00 , 39659
 738.00 , 39628
 739.00 , 39707
 740.00 , 39764
 741.00 , 39750
 742.00 , 39733
 743.00 , 39718
 744.00 , 39754
 745.00 , 39828
 746.00 , 39804
 747.00 , 39905
 748.00 , 39901
 749.00 , 39907
 750.00 , 39933
 751.00 , 39853
 752.00 , 39902
 753.00 , 39980
 754.00 , 40011
 755.00 , 40042
 756.00 , 40015
 757.00 , 40037
 758.00 , 40129
 759.00 , 40088
 760.00 , 40157
 761.00 , 40212
 762.00 , 40149
 763.00 , 40221
 764.00 , 40244
 765.00 , 40241
 766.00 , 40240
 767.00 , 40335
 768.00 , 40318
 769.00 , 40323
 770.00 , 40361
 771.00 , 40423
 772.00 , 40429
 773.00 , 40434
 774.00 , 40479
 775.00 , 40491
 776.00 , 40449
 777.00 , 40509
 778.00 , 40533
 779.00 , 40549
 780.00 , 40633
 781.00 , 40599
 782.00 , 40624
 783.00 , 40651
 784.00 , 40680
 785.00 , 40670
 786.00 , 40728
 787.00 , 40747
 788.00 , 40799
 789.00 , 40733
 790.00 , 40850
 791.00 , 40899
 792.00 , 40892
 793.00 , 40898
 794.00 , 40891
 795.00 , 40922
 796.00 , 40958
 797.00 , 40976
 798.00 , 41002
 799.00 , 40965
 800.00 , 41012
 801.00 , 41133
 802.00 , 41110
 803.00 , 41104
 804.00 , 41150
 805.00 , 41142
 806.00 , 41214
 807.00 , 41234
 808.00 , 41248
 809.00 , 41309
 810.00 , 41218
 811.00 , 41261
 812.00 , 41276
 813.00 , 41355
 814.00 , 41337
 815.00 , 41399
 816.00 , 41424
 817.00 , 41435
 818.00 , 41443
 819.00 , 41459
 820.00 , 41455
 821.00 , 41536
 822.00 , 41564
 823.00 , 41567
 824.00 , 41552
 825.00 , 41616
 826.00 , 41620
 827.00 , 41662
 828.00 , 41638
 829.00 , 41728
 830.00 , 41758
 831.00 , 41766
 832.00 , 41750
 833.00 , 41737
 834.00 , 41751
 835.00 , 41792
 836.00 , 41876
 837.00 , 41823
 838.00 , 41908
 839.00 , 41880
 840.00 , 41947
 841.00 , 41910
